return_id,sale_id,return_date,reason
103,21824,2021-07-21,Defective
104,13788,2024-12-22,Changed Mind
105,17883,2022-06-21,Wrong Item
106,214,2024-04-30,Wrong Item
107,18802,2020-07-31,Changed Mind
108,13023,2024-02-07,Changed Mind
109,20235,2025-06-20,Wrong Item
110,12308,2024-04-11,Changed Mind
111,21209,2024-07-24,Defective
112,16493,2023-08-24,Changed Mind
113,2193,2022-09-03,Wrong Item
114,22696,2025-03-31,Wrong Item
115,23576,2021-10-01,Wrong Item
116,11015,2025-02-13,Changed Mind
117,13700,2023-06-01,Wrong Item
118,17513,2025-05-12,Changed Mind
119,17261,2022-05-01,Changed Mind
120,7577,2021-04-09,Wrong Item
121,9259,2023-05-05,Wrong Item
122,6440,2024-12-23,Wrong Item
123,12950,2023-07-12,Changed Mind
124,9171,2022-11-14,Defective
125,17149,2024-03-05,Changed Mind
126,23019,2023-07-25,Defective
127,15890,2021-07-08,Wrong Item
128,5991,2025-06-16,Wrong Item
129,15501,2022-03-05,Changed Mind
130,10830,2024-10-12,Changed Mind
131,3013,2023-11-17,Changed Mind
132,14888,2023-06-26,Changed Mind
133,22571,2022-03-05,Defective
134,13831,2023-08-18,Wrong Item
135,5892,2020-10-07,Changed Mind
136,7531,2023-02-20,Wrong Item
137,2479,2024-11-27,Defective
138,11284,2024-07-09,Wrong Item
139,4770,2023-04-08,Changed Mind
140,18334,2023-09-29,Defective
141,18489,2024-11-03,Defective
142,24635,2024-08-05,Changed Mind
143,11122,2025-04-05,Wrong Item
144,17114,2025-03-08,Wrong Item
145,19797,2020-09-19,Changed Mind
146,9395,2024-06-11,Defective
147,15973,2024-08-06,Wrong Item
148,12278,2023-05-11,Wrong Item
149,15454,2024-12-02,Defective
150,6306,2022-05-14,Defective
151,16218,2023-04-02,Changed Mind
152,2982,2021-01-16,Changed Mind
153,15954,2024-07-13,Changed Mind
154,13897,2021-06-22,Changed Mind
155,15226,2024-08-26,Changed Mind
156,20089,2022-11-08,Changed Mind
157,3731,2021-12-19,Defective
158,20401,2023-04-09,Changed Mind
159,19590,2024-10-22,Defective
160,7647,2024-08-04,Defective
161,19358,2024-03-16,Wrong Item
162,23592,2023-08-13,Wrong Item
163,2311,2025-03-15,Changed Mind
164,24475,2023-09-07,Wrong Item
165,13829,2022-03-03,Wrong Item
166,18929,2023-01-18,Wrong Item
167,22728,2024-12-09,Changed Mind
168,947,2022-06-19,Changed Mind
169,20678,2021-08-23,Wrong Item
170,22508,2024-01-24,Wrong Item
171,1398,2025-03-07,Defective
172,22129,2024-02-28,Defective
173,24353,2022-03-18,Defective
174,14238,2023-12-13,Changed Mind
175,22200,2023-03-14,Defective
176,7049,2021-06-16,Wrong Item
177,12477,2023-03-01,Changed Mind
178,10202,2023-05-16,Defective
179,16641,2022-01-08,Defective
180,22924,2023-08-05,Wrong Item
181,5784,2021-10-14,Changed Mind
182,17176,2022-05-26,Wrong Item
183,20142,2023-03-16,Changed Mind
184,3552,2022-11-07,Changed Mind
185,16540,2021-10-10,Wrong Item
186,940,2022-11-13,Changed Mind
187,5645,2021-03-28,Wrong Item
188,6491,2020-09-25,Wrong Item
189,5521,2022-01-22,Wrong Item
190,19548,2024-02-14,Defective
191,18972,2024-09-05,Wrong Item
192,13323,2021-12-27,Defective
193,8991,2025-06-25,Wrong Item
194,23594,2025-03-17,Defective
195,18249,2023-04-26,Defective
196,17980,2022-01-31,Wrong Item
197,2158,2020-07-17,Changed Mind
198,4541,2024-09-08,Wrong Item
199,21148,2022-07-09,Defective
200,17716,2025-01-09,Defective
201,17749,2021-10-06,Defective
202,4476,2021-12-14,Wrong Item
203,9607,2025-05-17,Wrong Item
204,3776,2022-04-21,Defective
205,21492,2020-06-30,Changed Mind
206,17928,2024-10-07,Wrong Item
207,13870,2021-01-31,Wrong Item
208,11442,2021-05-27,Changed Mind
209,1233,2022-10-21,Defective
210,7166,2025-04-13,Defective
211,5244,2020-10-22,Defective
212,9639,2024-10-28,Changed Mind
213,2758,2024-09-26,Defective
214,22499,2021-04-08,Wrong Item
215,23123,2023-05-22,Changed Mind
216,12319,2025-06-27,Defective
217,10265,2021-01-12,Changed Mind
218,5284,2022-02-20,Changed Mind
219,18848,2025-03-05,Defective
220,14889,2023-11-29,Wrong Item
221,19688,2023-07-20,Defective
222,19075,2023-06-30,Defective
223,17297,2021-06-19,Changed Mind
224,10071,2022-02-13,Changed Mind
225,846,2023-11-06,Changed Mind
226,22473,2023-10-05,Wrong Item
227,3224,2020-09-28,Wrong Item
228,8516,2020-12-19,Defective
229,3319,2021-01-04,Changed Mind
230,9377,2020-08-09,Defective
231,23922,2021-04-05,Changed Mind
232,10030,2021-06-11,Wrong Item
233,22952,2022-04-14,Wrong Item
234,8634,2025-06-18,Wrong Item
235,13448,2021-08-04,Changed Mind
236,18827,2020-09-10,Wrong Item
237,8469,2024-03-28,Changed Mind
238,13566,2023-12-04,Changed Mind
239,22929,2021-02-24,Wrong Item
240,9918,2022-09-06,Changed Mind
241,3394,2024-04-03,Wrong Item
242,6851,2025-02-26,Changed Mind
243,16226,2022-02-17,Wrong Item
244,20813,2024-01-18,Wrong Item
245,4567,2023-12-06,Changed Mind
246,2264,2022-06-16,Changed Mind
247,14794,2022-01-26,Defective
248,5149,2021-03-30,Defective
249,13732,2022-01-19,Wrong Item
250,4496,2020-12-14,Changed Mind
251,19713,2021-08-31,Wrong Item
252,1480,2021-05-06,Changed Mind
253,16063,2022-05-02,Changed Mind
254,496,2022-09-26,Wrong Item
255,4786,2025-03-06,Wrong Item
256,18690,2025-04-01,Defective
257,9388,2020-09-15,Changed Mind
258,5322,2024-08-19,Wrong Item
259,2341,2024-01-31,Changed Mind
260,22059,2023-03-14,Wrong Item
261,10835,2024-03-06,Wrong Item
262,14491,2020-09-03,Defective
263,17072,2024-11-02,Changed Mind
264,19876,2022-06-25,Changed Mind
265,14058,2022-07-02,Wrong Item
266,17493,2023-12-06,Defective
267,11464,2022-02-26,Wrong Item
268,5962,2021-09-01,Changed Mind
269,24453,2021-02-22,Wrong Item
270,9755,2025-06-05,Defective
271,8368,2022-09-27,Defective
272,22666,2022-09-10,Changed Mind
273,17378,2023-11-22,Defective
274,13693,2024-11-28,Defective
275,22369,2021-11-22,Wrong Item
276,22342,2021-08-21,Defective
277,2604,2021-05-01,Wrong Item
278,23998,2021-10-17,Changed Mind
279,6417,2023-03-27,Defective
280,4039,2023-02-16,Changed Mind
281,9184,2024-12-19,Changed Mind
282,14606,2024-11-12,Wrong Item
283,15901,2024-08-15,Wrong Item
284,613,2021-05-09,Wrong Item
285,2507,2025-06-07,Wrong Item
286,17760,2022-01-17,Wrong Item
287,8836,2023-09-04,Wrong Item
288,3255,2021-06-30,Wrong Item
289,12131,2024-12-14,Changed Mind
290,3828,2024-07-06,Wrong Item
291,12024,2022-12-12,Wrong Item
292,1085,2024-03-03,Changed Mind
293,1497,2021-01-28,Changed Mind
294,12261,2024-09-29,Wrong Item
295,16509,2024-11-19,Wrong Item
296,2152,2022-04-12,Changed Mind
297,14668,2022-04-08,Wrong Item
298,14513,2022-08-17,Changed Mind
299,15642,2021-06-23,Defective
300,20249,2021-12-11,Wrong Item
301,9055,2024-09-26,Changed Mind
302,4681,2021-06-23,Changed Mind
303,440,2022-01-13,Defective
304,337,2021-10-21,Wrong Item
305,24447,2021-02-11,Wrong Item
306,3795,2025-03-06,Defective
307,21897,2022-05-29,Defective
308,2831,2024-07-11,Changed Mind
309,8246,2024-11-29,Wrong Item
310,1501,2020-10-23,Changed Mind
311,6387,2022-05-05,Wrong Item
312,12801,2022-09-21,Defective
313,15260,2023-11-06,Changed Mind
314,23168,2023-02-11,Changed Mind
315,8029,2024-02-08,Wrong Item
316,19365,2023-05-25,Wrong Item
317,18786,2021-08-05,Defective
318,14691,2021-12-24,Changed Mind
319,22924,2022-04-03,Changed Mind
320,22412,2023-04-18,Defective
321,12658,2023-12-06,Changed Mind
322,22386,2024-04-30,Changed Mind
323,23822,2023-11-04,Changed Mind
324,11915,2022-08-18,Changed Mind
325,21736,2024-05-02,Defective
326,17523,2024-08-19,Wrong Item
327,21290,2023-07-08,Defective
328,19043,2021-02-17,Changed Mind
329,13314,2021-03-17,Changed Mind
330,19217,2020-12-15,Defective
331,2088,2024-06-30,Wrong Item
332,3067,2023-12-02,Wrong Item
333,5012,2023-05-12,Defective
334,23295,2024-02-01,Changed Mind
335,1124,2023-05-04,Changed Mind
336,19948,2022-12-07,Defective
337,17725,2021-12-09,Defective
338,21325,2024-09-08,Wrong Item
339,10606,2024-02-04,Defective
340,18715,2025-06-12,Defective
341,10263,2024-08-09,Changed Mind
342,12340,2023-05-16,Defective
343,24875,2021-12-08,Defective
344,2411,2022-04-12,Defective
345,17288,2023-03-31,Wrong Item
346,7030,2020-12-20,Changed Mind
347,9008,2022-12-27,Wrong Item
348,15872,2023-06-22,Changed Mind
349,15999,2021-02-27,Changed Mind
350,8591,2025-01-05,Changed Mind
351,23824,2022-03-27,Changed Mind
352,14632,2025-03-08,Changed Mind
353,3315,2021-10-30,Defective
354,21569,2022-07-15,Defective
355,24351,2023-09-09,Defective
356,20817,2020-10-14,Changed Mind
357,11838,2022-01-05,Changed Mind
358,18780,2023-01-11,Wrong Item
359,6930,2023-01-11,Defective
360,21420,2024-07-09,Defective
361,10541,2024-07-01,Wrong Item
362,13321,2023-06-24,Changed Mind
363,1775,2020-11-12,Wrong Item
364,13722,2020-08-12,Changed Mind
365,13313,2024-10-31,Changed Mind
366,9988,2025-02-10,Wrong Item
367,12118,2022-01-05,Changed Mind
368,20408,2024-11-28,Defective
369,18950,2023-04-22,Changed Mind
370,19971,2022-04-29,Defective
371,18587,2022-08-16,Wrong Item
372,13671,2024-05-01,Changed Mind
373,4571,2024-06-27,Wrong Item
374,22179,2021-02-08,Changed Mind
375,10514,2025-06-26,Changed Mind
376,23329,2024-11-28,Wrong Item
377,12756,2022-06-27,Wrong Item
378,21324,2023-07-08,Defective
379,12464,2024-08-19,Changed Mind
380,22176,2023-07-17,Wrong Item
381,5297,2023-08-01,Defective
382,16087,2025-05-06,Wrong Item
383,18159,2021-11-22,Changed Mind
384,16853,2021-08-14,Wrong Item
385,6299,2021-08-02,Wrong Item
386,20005,2025-03-24,Wrong Item
387,21685,2023-07-15,Changed Mind
388,3078,2024-03-28,Changed Mind
389,1779,2024-04-02,Changed Mind
390,20593,2023-02-03,Changed Mind
391,19055,2024-10-13,Wrong Item
392,8338,2020-12-08,Changed Mind
393,10150,2021-05-22,Changed Mind
394,20291,2024-09-30,Defective
395,14099,2023-05-11,Wrong Item
396,14336,2021-03-23,Defective
397,9377,2023-05-29,Defective
398,14134,2021-08-08,Wrong Item
399,3467,2024-07-12,Changed Mind
400,19956,2023-10-17,Changed Mind
401,8997,2025-06-03,Wrong Item
402,18100,2024-02-22,Defective
403,4715,2025-03-29,Defective
404,17193,2023-04-27,Defective
405,2588,2020-12-06,Changed Mind
406,7204,2021-12-25,Defective
407,19780,2022-09-19,Defective
408,24976,2024-04-07,Changed Mind
409,22907,2023-07-06,Wrong Item
410,1621,2020-12-01,Defective
411,10779,2025-03-25,Defective
412,15,2021-11-19,Wrong Item
413,8785,2020-07-14,Wrong Item
414,5380,2021-11-23,Changed Mind
415,13226,2024-10-21,Changed Mind
416,13866,2021-03-19,Wrong Item
417,4789,2021-04-19,Wrong Item
418,918,2020-10-30,Wrong Item
419,18135,2021-03-03,Defective
420,1938,2021-03-09,Wrong Item
421,14449,2022-09-05,Defective
422,15461,2024-11-25,Defective
423,8102,2023-07-22,Defective
424,18123,2025-02-13,Defective
425,5244,2022-03-27,Changed Mind
426,17663,2022-12-21,Changed Mind
427,17269,2021-03-29,Wrong Item
428,20804,2023-05-23,Wrong Item
429,16835,2022-08-04,Changed Mind
430,16669,2020-08-19,Wrong Item
431,20018,2025-01-19,Defective
432,4314,2022-03-10,Changed Mind
433,23342,2022-11-21,Defective
434,9279,2021-01-21,Wrong Item
435,18347,2024-07-25,Defective
436,16901,2024-03-10,Defective
437,9604,2025-03-27,Changed Mind
438,18401,2022-03-06,Changed Mind
439,6703,2021-02-22,Defective
440,15839,2021-01-30,Changed Mind
441,9399,2020-09-16,Changed Mind
442,3578,2024-06-19,Defective
443,16631,2021-01-16,Changed Mind
444,6799,2022-12-11,Defective
445,18753,2021-05-26,Wrong Item
446,4821,2021-01-18,Defective
447,4420,2022-04-07,Defective
448,17448,2024-04-05,Wrong Item
449,19144,2023-12-02,Wrong Item
450,6462,2023-01-26,Changed Mind
451,11083,2020-09-29,Defective
452,10378,2021-10-13,Defective
453,18309,2021-08-13,Wrong Item
454,5004,2023-01-12,Defective
455,8705,2022-07-15,Wrong Item
456,11826,2023-11-12,Changed Mind
457,20127,2022-08-04,Changed Mind
458,16998,2024-10-28,Wrong Item
459,4414,2023-12-29,Wrong Item
460,3441,2024-07-15,Defective
461,7137,2023-10-03,Changed Mind
462,13356,2022-12-21,Changed Mind
463,3988,2024-01-02,Defective
464,23971,2024-01-08,Wrong Item
465,1806,2021-01-14,Wrong Item
466,21327,2024-12-31,Defective
467,11311,2020-09-20,Wrong Item
468,6337,2020-09-19,Wrong Item
469,491,2024-10-21,Defective
470,18212,2021-01-07,Wrong Item
471,11238,2021-08-07,Wrong Item
472,14293,2025-03-30,Wrong Item
473,3038,2024-07-13,Wrong Item
474,22279,2021-09-20,Defective
475,3051,2024-10-31,Defective
476,19374,2024-10-05,Defective
477,1158,2022-02-14,Wrong Item
478,15304,2021-03-07,Changed Mind
479,22962,2023-10-20,Changed Mind
480,21214,2022-03-08,Defective
481,20856,2023-06-04,Wrong Item
482,13624,2025-04-14,Wrong Item
483,8975,2022-03-17,Changed Mind
484,16577,2022-02-06,Changed Mind
485,11917,2022-01-26,Wrong Item
486,22065,2024-07-15,Defective
487,10881,2021-02-21,Defective
488,14330,2023-06-30,Changed Mind
489,20032,2024-10-09,Changed Mind
490,9134,2020-07-05,Wrong Item
491,5088,2021-06-10,Wrong Item
492,9813,2023-09-22,Wrong Item
493,649,2020-11-05,Defective
494,5948,2023-06-05,Wrong Item
495,12779,2023-08-25,Wrong Item
496,2036,2025-04-19,Changed Mind
497,22916,2021-06-30,Wrong Item
498,15754,2022-05-11,Wrong Item
499,11342,2022-05-23,Wrong Item
500,8793,2021-01-05,Wrong Item
501,9164,2021-07-10,Changed Mind
502,22827,2020-09-16,Changed Mind
503,24757,2021-09-24,Changed Mind
504,21874,2023-11-22,Defective
505,5385,2020-07-10,Defective
506,16736,2022-05-23,Defective
507,15118,2023-11-02,Defective
508,6248,2021-02-20,Changed Mind
509,16970,2021-02-06,Defective
510,14282,2022-10-21,Changed Mind
511,18561,2024-08-29,Wrong Item
512,4333,2024-12-12,Wrong Item
513,6484,2024-07-05,Changed Mind
514,15506,2024-01-06,Defective
515,11817,2023-08-03,Defective
516,6973,2023-03-08,Changed Mind
517,5411,2024-06-13,Wrong Item
518,3532,2024-10-01,Wrong Item
519,6434,2024-12-14,Wrong Item
520,13154,2021-09-13,Changed Mind
521,17697,2023-10-25,Defective
522,17301,2020-10-10,Wrong Item
523,22294,2023-01-08,Wrong Item
524,6808,2020-08-18,Defective
525,8946,2020-07-17,Defective
526,11159,2025-04-11,Defective
527,21310,2023-01-05,Wrong Item
528,7578,2024-03-02,Changed Mind
529,4530,2021-05-09,Defective
530,1141,2025-03-23,Changed Mind
531,16896,2023-02-22,Defective
532,2803,2023-04-18,Wrong Item
533,4206,2022-11-29,Wrong Item
534,11790,2025-03-20,Changed Mind
535,14621,2025-03-17,Wrong Item
536,3826,2021-07-14,Changed Mind
537,5931,2021-02-22,Defective
538,3578,2023-09-10,Changed Mind
539,1419,2022-02-09,Wrong Item
540,21046,2022-05-15,Wrong Item
541,24239,2022-12-23,Defective
542,840,2025-03-27,Changed Mind
543,14981,2023-08-24,Defective
544,1817,2024-03-07,Defective
545,9253,2022-12-29,Changed Mind
546,15987,2022-12-20,Defective
547,6245,2022-03-01,Changed Mind
548,12261,2023-10-09,Defective
549,21466,2025-02-13,Changed Mind
550,10171,2020-09-19,Wrong Item
551,14112,2021-11-12,Wrong Item
552,20912,2020-07-24,Changed Mind
553,21057,2023-12-25,Wrong Item
554,19450,2022-11-29,Wrong Item
555,15554,2025-02-22,Wrong Item
556,300,2022-12-30,Changed Mind
557,7366,2024-08-21,Wrong Item
558,319,2024-04-13,Wrong Item
559,7705,2021-01-06,Defective
560,2740,2022-08-05,Wrong Item
561,5293,2023-12-10,Wrong Item
562,17557,2023-03-27,Wrong Item
563,15255,2020-09-27,Defective
564,24413,2022-03-11,Defective
565,19880,2024-05-16,Changed Mind
566,13711,2024-09-17,Defective
567,17946,2022-02-11,Defective
568,21866,2022-04-12,Defective
569,763,2024-02-29,Defective
570,297,2021-01-28,Wrong Item
571,13700,2021-05-18,Changed Mind
572,10055,2025-01-24,Changed Mind
573,21883,2020-07-07,Changed Mind
574,11032,2025-04-02,Wrong Item
575,23813,2021-11-11,Changed Mind
576,10463,2025-01-07,Defective
577,15954,2022-11-19,Changed Mind
578,4508,2022-03-17,Defective
579,13741,2022-02-08,Defective
580,20404,2023-06-04,Wrong Item
581,23215,2023-06-01,Changed Mind
582,24547,2023-01-17,Defective
583,5037,2023-12-26,Wrong Item
584,10833,2023-02-21,Defective
585,957,2021-06-01,Changed Mind
586,2536,2020-11-07,Changed Mind
587,11051,2022-06-30,Changed Mind
588,10244,2021-11-27,Defective
589,545,2022-04-25,Defective
590,16546,2024-10-27,Defective
591,7967,2024-06-01,Defective
592,16219,2022-09-22,Wrong Item
593,4959,2021-10-05,Changed Mind
594,11055,2022-01-12,Changed Mind
595,8025,2021-01-25,Changed Mind
596,11156,2024-08-14,Defective
597,21815,2020-08-26,Defective
598,14443,2024-12-14,Wrong Item
599,24023,2021-11-27,Defective
600,11198,2022-07-21,Changed Mind
601,8323,2021-05-23,Changed Mind
602,9219,2023-07-18,Changed Mind
603,22625,2020-10-05,Wrong Item
604,19941,2025-02-06,Defective
605,791,2021-03-26,Defective
606,323,2021-04-14,Defective
607,14821,2021-05-09,Wrong Item
608,13837,2023-01-29,Defective
609,6432,2024-02-21,Wrong Item
610,11145,2024-04-03,Changed Mind
611,1093,2020-10-27,Wrong Item
612,5670,2024-11-22,Defective
613,21552,2023-07-10,Defective
614,9972,2021-01-08,Wrong Item
615,22752,2022-06-16,Wrong Item
616,16575,2022-10-29,Changed Mind
617,19991,2025-06-12,Wrong Item
618,524,2023-04-02,Wrong Item
619,10364,2022-04-25,Changed Mind
620,11285,2022-05-02,Defective
621,18468,2022-08-28,Wrong Item
622,22811,2022-04-22,Defective
623,22832,2024-02-26,Changed Mind
624,2175,2024-12-18,Defective
625,8404,2020-10-06,Changed Mind
626,4216,2022-06-25,Defective
627,6249,2022-07-10,Wrong Item
628,3187,2023-04-26,Wrong Item
629,17038,2021-11-02,Changed Mind
630,16568,2020-11-20,Wrong Item
631,8369,2022-12-07,Changed Mind
632,14541,2022-05-14,Changed Mind
633,22799,2020-10-04,Changed Mind
634,10679,2020-09-06,Changed Mind
635,24714,2021-08-24,Wrong Item
636,24519,2022-10-14,Defective
637,15887,2024-08-10,Wrong Item
638,18182,2020-10-05,Changed Mind
639,2531,2020-11-13,Changed Mind
640,21011,2024-01-22,Wrong Item
641,12620,2023-10-02,Changed Mind
642,20917,2023-06-27,Changed Mind
643,20236,2023-02-23,Wrong Item
644,17496,2025-02-24,Defective
645,17059,2022-09-02,Changed Mind
646,24766,2024-04-06,Wrong Item
647,17066,2022-07-26,Defective
648,3825,2024-07-06,Wrong Item
649,3266,2024-07-14,Defective
650,1287,2023-12-18,Changed Mind
651,24284,2023-11-06,Defective
652,1965,2024-12-28,Defective
653,15056,2024-02-25,Changed Mind
654,16163,2021-03-22,Changed Mind
655,9457,2022-12-12,Defective
656,13902,2024-12-25,Defective
657,4722,2024-02-11,Wrong Item
658,10497,2024-01-01,Wrong Item
659,6539,2025-04-20,Changed Mind
660,2058,2021-05-13,Wrong Item
661,2728,2023-01-17,Defective
662,8782,2023-06-29,Changed Mind
663,9510,2023-05-09,Changed Mind
664,4449,2022-03-27,Defective
665,13213,2024-07-15,Defective
666,947,2024-04-12,Defective
667,24509,2023-11-12,Defective
668,20232,2025-05-08,Defective
669,7649,2022-11-25,Changed Mind
670,11069,2022-10-01,Defective
671,10371,2021-10-08,Changed Mind
672,10509,2020-11-18,Defective
673,11782,2023-07-26,Wrong Item
674,23162,2025-06-08,Defective
675,1572,2020-12-25,Defective
676,763,2021-02-12,Wrong Item
677,19653,2024-02-08,Defective
678,3359,2020-08-09,Changed Mind
679,10404,2022-06-30,Wrong Item
680,5113,2023-01-02,Changed Mind
681,14561,2024-07-11,Wrong Item
682,3719,2025-06-13,Changed Mind
683,14995,2023-04-16,Defective
684,11138,2020-12-15,Changed Mind
685,8290,2025-03-23,Defective
686,12601,2024-10-26,Changed Mind
687,13680,2023-12-18,Wrong Item
688,17971,2022-04-03,Changed Mind
689,8868,2021-04-07,Defective
690,13731,2023-05-19,Defective
691,17701,2021-11-08,Defective
692,10276,2021-08-05,Wrong Item
693,15365,2021-04-10,Changed Mind
694,21909,2023-02-16,Wrong Item
695,1333,2025-06-16,Wrong Item
696,20313,2024-11-19,Wrong Item
697,18221,2025-01-31,Changed Mind
698,12529,2023-03-24,Wrong Item
699,24524,2022-04-23,Wrong Item
700,10734,2025-06-22,Defective
701,20422,2024-12-27,Changed Mind
702,16904,2022-03-29,Wrong Item
703,13086,2022-01-24,Changed Mind
704,7892,2023-09-04,Wrong Item
705,12018,2023-04-19,Wrong Item
706,10957,2022-09-15,Wrong Item
707,10448,2022-04-09,Wrong Item
708,12696,2020-07-20,Wrong Item
709,24696,2024-07-30,Changed Mind
710,5709,2025-03-23,Defective
711,5220,2025-02-03,Defective
712,9044,2022-08-09,Wrong Item
713,1356,2021-08-22,Defective
714,11686,2024-06-13,Changed Mind
715,6949,2022-07-14,Changed Mind
716,6165,2021-12-24,Changed Mind
717,20604,2020-09-10,Wrong Item
718,17123,2021-07-09,Defective
719,16198,2024-03-12,Changed Mind
720,9329,2024-06-18,Defective
721,15237,2024-06-13,Defective
722,5789,2021-07-10,Wrong Item
723,24003,2021-02-10,Wrong Item
724,13004,2025-05-12,Defective
725,18479,2023-11-05,Changed Mind
726,23164,2020-10-17,Wrong Item
727,23742,2020-09-26,Wrong Item
728,3723,2020-07-08,Changed Mind
729,4109,2021-11-20,Changed Mind
730,7949,2021-01-04,Changed Mind
731,20010,2023-02-17,Defective
732,14478,2025-06-10,Changed Mind
733,5327,2020-12-19,Wrong Item
734,13209,2024-01-18,Wrong Item
735,20008,2020-08-06,Wrong Item
736,18070,2020-12-28,Changed Mind
737,15470,2021-05-19,Wrong Item
738,9464,2025-05-21,Changed Mind
739,3344,2021-01-18,Defective
740,13692,2021-07-15,Changed Mind
741,13129,2022-10-26,Defective
742,23501,2022-09-14,Wrong Item
743,24265,2023-12-29,Defective
744,15827,2023-12-25,Changed Mind
745,24595,2024-10-01,Wrong Item
746,15052,2021-10-24,Defective
747,10509,2020-12-03,Wrong Item
748,12932,2023-02-25,Changed Mind
749,12417,2022-11-16,Wrong Item
750,5967,2020-10-05,Changed Mind
751,23496,2020-09-13,Changed Mind
752,6974,2024-12-30,Wrong Item
753,10177,2020-08-05,Changed Mind
754,24888,2024-04-03,Changed Mind
755,1527,2024-02-24,Wrong Item
756,4402,2024-04-24,Changed Mind
757,6829,2025-02-12,Wrong Item
758,15261,2020-08-27,Changed Mind
759,8893,2020-12-03,Defective
760,17111,2024-06-03,Defective
761,21039,2023-01-06,Wrong Item
762,12585,2024-06-09,Defective
763,16191,2024-10-21,Defective
764,19023,2025-04-06,Changed Mind
765,5813,2023-09-26,Changed Mind
766,6773,2021-10-08,Wrong Item
767,263,2024-05-13,Changed Mind
768,2224,2023-03-15,Changed Mind
769,24525,2020-10-29,Changed Mind
770,3821,2024-01-13,Wrong Item
771,7759,2021-10-26,Wrong Item
772,1234,2021-10-06,Wrong Item
773,10414,2023-09-07,Defective
